session_id,label,label_confidence,local_time,timestamp_ms,side,device_id,sync_id,packet_seq,p1,p2,p3,p4,p5,p6,t1,t2,t3,t4,ax,ay,az,gx,gy,gz,quality_flags,source
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.192+08:00,1786712884192,left,foot_left_001,2402087,343629828,0.0007,0.0,0.0007,0.0,0.0063,0.0711,31.22,30.44,30.82,30.96,-5.24655775,2.0397832,-6.952914849999999,4.6,1.5,1.2,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.390+08:00,1786712884390,right,foot_right_001,2402087,343629829,0.0466,0.0012,0.0059,0.0012,0.0024,0.009,30.41,32.47,23.53,32.33,4.158019599999999,4.020726499999999,-6.65871535,-12.2,-2.5,4.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.392+08:00,1786712884392,left,foot_left_001,2402087,343629829,0.0034,0.0,0.001,0.0,0.0061,0.0828,31.34,30.53,30.96,31.16,-5.16810455,1.89268345,-6.9333015499999995,1.2,-0.3,2.1,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.590+08:00,1786712884590,right,foot_right_001,2402087,343629830,0.0447,0.0012,0.0083,0.0002,0.0017,0.0029,30.41,32.45,23.53,32.39,4.0991797,4.158019599999999,-6.59987545,-9.4,5.7,-4.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.592+08:00,1786712884592,left,foot_left_001,2402087,343629830,0.0042,0.0005,0.002,0.0,0.0051,0.0801,31.39,30.67,31.05,31.34,-5.0896513500000005,2.0201699,-6.943108199999999,1.3,-0.4,1.3,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.790+08:00,1786712884790,right,foot_right_001,2402087,343629831,0.0203,0.0,0.0042,0.0,0.0178,0.0337,30.41,32.45,23.53,32.45,3.9814998999999998,4.069759749999999,-6.668522,-6.1,-1.2,-3.0,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.792+08:00,1786712884792,left,foot_left_001,2402087,343629831,0.0059,0.0002,0.0017,0.0,0.0015,0.0342,31.48,30.73,31.13,31.48,-5.1582979,1.89268345,-6.9038816,0.6,-0.5,1.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.990+08:00,1786712884990,right,foot_right_001,2402087,343629832,0.0144,0.0,0.0027,0.0,0.0254,0.0369,30.47,32.53,23.53,32.45,3.95207995,4.0795664,-6.639102049999999,-5.7,-0.7,-0.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.992+08:00,1786712884992,left,foot_left_001,2402087,343629832,0.0081,0.0002,0.0046,0.0005,0.0,0.0227,31.57,30.82,31.22,31.6,-5.24655775,1.93191005,-6.913688249999999,0.3,-0.3,2.4,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.190+08:00,1786712885190,right,foot_right_001,2402087,343629833,0.0139,0.0,0.0012,0.0,0.0256,0.0408,30.5,32.56,23.56,32.47,3.9618865999999997,4.1384063,-6.678328649999999,-4.7,-1.7,-1.4,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.192+08:00,1786712885192,left,foot_left_001,2402087,343629833,0.0088,0.0002,0.0032,0.0007,0.0,0.0291,31.66,30.96,31.34,31.71,-5.236751099999999,1.9417167,-6.9234949,1.4,0.5,1.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.390+08:00,1786712885390,right,foot_right_001,2402087,343629834,0.0085,0.0,0.0012,0.0,0.0222,0.0381,30.53,32.62,23.56,32.45,3.9618865999999997,4.05014645,-6.6881353,-7.1,-0.4,-0.9,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.392+08:00,1786712885392,left,foot_left_001,2402087,343629834,0.0115,0.0005,0.0073,0.0034,0.0005,0.0335,31.71,31.05,31.39,31.86,-5.2171378,1.89268345,-6.9038816,1.1,0.6,1.9,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.590+08:00,1786712885590,right,foot_right_001,2402087,343629835,0.0134,0.0015,0.0051,0.0,0.02,0.0276,30.53,32.62,23.56,32.45,4.0011132,4.0599530999999995,-6.717555249999999,-7.1,-0.2,-0.5,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.592+08:00,1786712885592,left,foot_left_001,2402087,343629835,0.0166,0.0017,0.0107,0.0059,0.0015,0.0317,31.77,31.16,31.39,32.06,-5.24655775,1.8730701499999998,-6.952914849999999,1.1,0.6,1.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.790+08:00,1786712885790,right,foot_right_001,2402087,343629836,0.0217,0.0046,0.0122,0.0,0.02,0.023,30.53,32.65,23.53,32.5,3.9814998999999998,3.99130655,-6.69794195,-6.8,-0.3,-1.1,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.792+08:00,1786712885792,left,foot_left_001,2402087,343629836,0.0208,0.0024,0.012,0.0066,0.0017,0.0281,31.83,31.34,31.48,32.15,-5.197524499999999,1.8632634999999997,-6.9038816,1.2,0.3,1.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.990+08:00,1786712885990,right,foot_right_001,2402087,343629837,0.0139,0.0051,0.0117,0.0,0.0203,0.0283,30.67,32.65,23.56,32.5,3.99130655,4.03053315,-6.73716855,-5.8,-1.7,-2.5,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:05.992+08:00,1786712885992,left,foot_left_001,2402087,343629837,0.0186,0.0005,0.0071,0.0095,0.0005,0.0347,32.01,31.48,31.57,32.24,-5.16810455,1.7848103,-6.9627215,2.1,1.0,2.3,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.190+08:00,1786712886190,right,foot_right_001,2402087,343629838,0.0044,0.0,0.0017,0.0,0.0173,0.0381,30.73,32.65,23.61,32.53,3.93246665,4.08937305,-6.717555249999999,-6.7,-1.5,-1.2,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.192+08:00,1786712886192,left,foot_left_001,2402087,343629838,0.0137,0.0,0.0059,0.0066,0.0012,0.0457,32.06,31.66,31.66,32.33,-5.2171378,1.8142302499999998,-6.982334799999999,0.8,0.7,2.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.390+08:00,1786712886390,right,foot_right_001,2402087,343629839,0.0029,0.0,0.0,0.0,0.0151,0.0393,30.73,32.65,23.61,32.56,3.95207995,4.08937305,-6.6881353,-6.5,-0.8,-1.2,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.392+08:00,1786712886392,left,foot_left_001,2402087,343629839,0.0078,0.0,0.0,0.0015,0.0012,0.0623,32.09,31.71,31.68,32.47,-5.14849125,1.8338435499999999,-6.992141449999999,0.2,0.5,2.5,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.590+08:00,1786712886590,right,foot_right_001,2402087,343629840,0.0032,0.0,0.0002,0.0,0.0154,0.0381,30.73,32.71,23.61,32.62,3.9422732999999996,4.05014645,-6.717555249999999,-6.5,-0.9,-1.5,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.592+08:00,1786712886592,left,foot_left_001,2402087,343629840,0.0066,0.0,0.0,0.0022,0.0012,0.0679,32.12,31.77,31.71,32.53,-5.1582979,1.8632634999999997,-7.011754749999999,0.7,0.1,1.8,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.790+08:00,1786712886790,right,foot_right_001,2402087,343629841,0.0024,0.0,0.0007,0.0,0.0183,0.0403,30.73,32.71,23.61,32.65,3.92266,4.0795664,-6.717555249999999,-6.4,-0.9,-1.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.792+08:00,1786712886792,left,foot_left_001,2402087,343629841,0.0107,0.0,0.0012,0.0042,0.0005,0.0606,32.15,31.86,31.77,32.59,-5.16810455,1.8142302499999998,-7.0019481,0.9,-0.1,1.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.990+08:00,1786712886990,right,foot_right_001,2402087,343629842,0.0007,0.0,0.0,0.0,0.022,0.041,30.73,32.71,23.59,32.65,3.91285335,4.0991797,-6.69794195,-8.2,-1.0,-1.8,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:06.992+08:00,1786712886992,left,foot_left_001,2402087,343629842,0.0137,0.0,0.0027,0.0061,0.0007,0.052,32.15,32.06,31.77,32.65,-5.197524499999999,1.8240368999999999,-6.943108199999999,0.7,0.0,1.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.190+08:00,1786712887190,right,foot_right_001,2402087,343629843,0.0007,0.0,0.0,0.0,0.0256,0.043,30.73,32.71,23.59,32.65,3.9030467,4.12859965,-6.678328649999999,-6.0,-0.9,-1.5,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.192+08:00,1786712887192,left,foot_left_001,2402087,343629843,0.0154,0.0,0.0015,0.0071,0.0002,0.0462,32.18,32.09,31.83,32.71,-5.1779112,1.8142302499999998,-6.9333015499999995,0.5,0.0,1.8,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.390+08:00,1786712887390,right,foot_right_001,2402087,343629844,0.0017,0.0,0.0,0.0,0.0254,0.044,30.73,32.77,23.64,32.65,3.91285335,4.0795664,-6.69794195,-5.1,-1.1,-1.3,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.392+08:00,1786712887392,left,foot_left_001,2402087,343629844,0.0188,0.0,0.0032,0.01,0.0002,0.0442,32.24,32.15,31.86,32.89,-5.16810455,1.8142302499999998,-6.952914849999999,0.5,0.0,2.0,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.590+08:00,1786712887590,right,foot_right_001,2402087,343629845,0.0024,0.0,0.0002,0.0,0.0254,0.0447,30.73,32.8,23.64,32.65,3.8834334,4.0599530999999995,-6.6881353,-5.8,-1.3,-1.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.592+08:00,1786712887592,left,foot_left_001,2402087,343629845,0.0183,0.0,0.0051,0.0081,0.0002,0.0449,32.27,32.24,32.01,32.86,-5.197524499999999,1.8338435499999999,-6.952914849999999,0.5,0.1,2.2,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.790+08:00,1786712887790,right,foot_right_001,2402087,343629846,0.0005,0.0,0.0,0.0,0.0264,0.0447,30.73,32.8,23.7,32.71,3.91285335,4.1384063,-6.7077485999999995,-7.2,-0.9,-1.8,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.792+08:00,1786712887792,left,foot_left_001,2402087,343629846,0.0137,0.0,0.0032,0.0063,0.0005,0.053,32.3,32.33,32.03,32.92,-5.20733115,1.8338435499999999,-6.9627215,0.0,-0.1,2.3,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.990+08:00,1786712887990,right,foot_right_001,2402087,343629847,0.0,0.0,0.0,0.0,0.0281,0.0464,30.73,32.83,23.7,32.71,3.8834334,4.18743955,-6.678328649999999,-8.6,-1.5,-2.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:07.992+08:00,1786712887992,left,foot_left_001,2402087,343629847,0.0005,0.0,0.0,0.0,0.0,0.0701,32.33,32.33,32.06,32.95,-5.16810455,1.9122967499999999,-6.952914849999999,-2.7,-0.5,2.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.190+08:00,1786712888190,right,foot_right_001,2402087,343629848,0.0,0.0,0.0,0.0,0.0237,0.0459,30.73,32.83,23.7,32.71,3.85401345,4.1776329,-6.6489087,-6.5,-1.0,-1.1,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.192+08:00,1786712888192,left,foot_left_001,2402087,343629848,0.0,0.0,0.0,0.0,0.0012,0.093,32.42,32.33,32.06,33.04,-5.1779112,2.0790097999999997,-6.9038816,-0.1,0.1,2.8,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.390+08:00,1786712888390,right,foot_right_001,2402087,343629849,0.0,0.0,0.0,0.0,0.0178,0.0425,30.73,32.83,23.7,32.71,3.8638201,4.158019599999999,-6.6292954,-5.1,-0.9,-0.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.392+08:00,1786712888392,left,foot_left_001,2402087,343629849,0.0,0.0,0.0,0.0,0.0024,0.0991,32.45,32.33,32.09,33.07,-5.099457999999999,1.95152335,-6.874461649999999,2.9,0.7,1.5,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.590+08:00,1786712888590,right,foot_right_001,2402087,343629850,0.0005,0.0,0.0,0.0,0.0168,0.0413,30.73,32.83,23.72,32.77,3.91285335,4.1384063,-6.668522,-5.5,-1.0,-1.1,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.592+08:00,1786712888592,left,foot_left_001,2402087,343629850,0.0039,0.0,0.0,0.0,0.0029,0.0801,32.45,32.33,32.09,33.07,-5.18771785,1.9024901,-6.943108199999999,1.4,0.0,1.5,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.790+08:00,1786712888790,right,foot_right_001,2402087,343629851,0.0027,0.0,0.0,0.0,0.0178,0.042,30.73,32.83,23.72,32.8,3.8638201,4.0795664,-6.717555249999999,-4.9,-1.1,-1.2,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.792+08:00,1786712888792,left,foot_left_001,2402087,343629851,0.0066,0.0002,0.0022,0.0005,0.0022,0.0615,32.47,32.42,32.15,33.15,-5.1779112,1.89268345,-6.952914849999999,0.7,-0.1,1.6,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.990+08:00,1786712888990,right,foot_right_001,2402087,343629852,0.0046,0.0,0.0,0.0,0.0205,0.0374,30.73,32.83,23.72,32.8,3.8932400499999997,4.020726499999999,-6.7273619,-5.1,-0.5,-0.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:08.992+08:00,1786712888992,left,foot_left_001,2402087,343629852,0.0095,0.0002,0.0024,0.0015,0.0017,0.0449,32.47,32.45,32.15,33.18,-5.16810455,1.8632634999999997,-6.9234949,0.6,0.0,1.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:09.190+08:00,1786712889190,right,foot_right_001,2402087,343629853,0.0088,0.0032,0.0056,0.0,0.0212,0.0295,30.73,32.89,23.72,32.8,3.92266,4.020726499999999,-6.73716855,-6.7,-0.4,-0.9,0,ble
